Name,Problem ID,Tags,Time Limit,Memory Limit,Description
Peak Productivity Forces,2035H,constructive algorithms,N/A,N/A,N/A
Go Learn! (Hard Version),2035G2,"divide and conquer, dp",N/A,N/A,N/A
Go Learn! (Easy Version),2035G1,"dp, trees",N/A,N/A,N/A
Tree Operations,2035F,"binary search, brute force, dfs and similar, dp, trees",N/A,N/A,N/A
Monster,2035E,"binary search, brute force, constructive algorithms, implementation, math",N/A,N/A,N/A
Yet Another Real Number Problem,2035D,"data structures, greedy, math",N/A,N/A,N/A
Alya and Permutation,2035C,"bitmasks, constructive algorithms, math",N/A,N/A,N/A
Everyone Loves Tres,2035B,"constructive algorithms, greedy, math, number theory",N/A,N/A,N/A
Sliding,2035A,"implementation, math",N/A,N/A,N/A
Sakurako and Chefir,2033G,"data structures, dfs and similar, dp, greedy, trees",N/A,N/A,N/A
Kosuke's Sloth,2033F,"brute force, math, number theory",N/A,N/A,N/A
"Sakurako, Kosuke, and the Permutation",2033E,"brute force, data structures, dfs and similar, dsu, graphs, greedy, math",N/A,N/A,N/A
2033D,Kousuke's Assignment,"data structures, dp, dsu, greedy, math",2 seconds,256 megabytes,"After a trip with Sakurako, Kousuke was very scared because he forgot about his programming assignment. In this assignment, the teacher gave him an array $$$a$$$ of $$$n$$$ integers and asked him to calculate the number ofnon-overlappingsegments of the array $$$a$$$, such that each segment is consideredbeautiful.A segment $$$[l,r]$$$ is consideredbeautifulif $$$a_l + a_{l+1} + \dots + a_{r-1} + a_r=0$$$.For a fixed array $$$a$$$, your task is to compute the maximum number of non-overlappingbeautifulsegments.

Sample Tests:
ExampleInput352 1 -3 2 1712 -4 4 43 -3 -5 860 -4 0 3 0 1Output1
2
3"
2033C,Sakurako's Field Trip,"dp, greedy, two pointers",2 seconds,256 megabytes,"Even in university, students need to relax. That is why Sakurakos teacher decided to go on a field trip. It is known that all of the students will be walking in one line. The student with index $$$i$$$ has some topic of interest which is described as $$$a_i$$$. As a teacher, you want to minimise thedisturbanceof the line of students.Thedisturbanceof the line is defined as the number of neighbouring people with the same topic of interest. In other words,disturbanceis the number of indices $$$j$$$ ($$$1 \le j < n$$$) such that $$$a_j = a_{j + 1}$$$.In order to do this, you can choose index $$$i$$$ ($$$1\le i\le n$$$) and swap students at positions $$$i$$$ and $$$n-i+1$$$. You can perform any number of swaps.Your task is to determine the minimal amount ofdisturbancethat you can achieve by doing the operation described above any number of times.

Sample Tests:
ExampleInput951 1 1 2 362 1 2 2 1 141 2 1 162 1 1 2 2 442 1 2 361 2 2 1 2 154 5 5 1 571 4 3 5 1 1 373 1 3 2 2 3 3Output1
2
1
0
0
1
1
0
2"
